Filename,ASSAT,ASSAT_pi,ASSAT_pi_Act,ASSAT_pi_ActT,,,
 be_6_2_7.apx,242.21,163.32,173.26,331.04,,,
 be_6_2_8.apx,319.28,159.82,226.36,234.28,,,
 be_6_2_9.apx,527.43,280.14,408.53,252.17,,,
 be_6_3_10.apx,1200,352.24,202.67,431.27,,,
 be_6_4_10.apx,547.27,457.25,248.63,445.26,,,
 be_6_4_6.apx,409.08,485.37,279.2,545.33,,,
 be_6_4_7.apx,1200,479.44,264.3,486.17,,,
 be_6_4_8.apx,350.24,463.71,406.09,480.22,,,
 be_6_4_9.apx,399.45,202.35,319.31,277.05,,,
 be_6_5_10.apx,1200,511.23,105.14,1200,,,
 be_6_6_10.apx,1200,522.22,230.03,1200,,,
 be_6_6_6.apx,1200,565.41,124.15,1200,,,
 be_6_6_7.apx,1200,512.16,207.66,1200,,,
 be_6_6_8.apx,1200,515.52,114.22,1200,,,
 be_6_6_9.apx,1200,537.18,162.82,1200,,,
 be_6_7_10.apx,581.35,522.03,159.29,1200,,,
 be_6_8_10.apx,1200,553.39,98.22,1200,,,
 be_6_8_6.apx,1200,1200,73.3,1200,,,
 be_6_8_7.apx,1200,541.32,167.15,1200,,,
 be_6_8_8.apx,1200,1200,203.32,1200,,,
 be_6_8_9.apx,1200,1200,112.31,1200,,,
 be_6_9_10.apx,1200,1200,72.22,1200,,,
 be_7_10_10.apx,1200,375.16,465.57,1200,,,
 be_7_10_6.apx,1200,1200,590.21,1200,,,
 be_7_10_7.apx,1200,1200,492.27,1200,,,
 be_7_10_8.apx,1200,1200,470.22,1200,,,
 be_7_10_9.apx,1200,1200,1200,1200,,,
 be_7_1_10.apx,1200,1200,317.21,1200,,,
 be_7_2_10.apx,1200,1200,1200,1200,,,
 be_7_2_6.apx,1200,1200,1200,1200,,,
 be_7_2_7.apx,1200,471.24,1200,1200,,,
 be_7_2_8.apx,1200,496.19,1200,1200,,,
 be_7_2_9.apx,1200,442.28,556.19,1200,,,
 be_7_3_10.apx,1200,1200,1200,1200,,,
 be_7_4_10.apx,1200,1200,342.06,1200,,,
 be_7_4_6.apx,1200,1200,1200,1200,,,
 be_7_4_7.apx,1200,1200,499.05,1200,,,
 be_7_4_8.apx,1200,1200,1200,1200,,,
 be_7_4_9.apx,1200,1200,1200,1200,,,
 be_7_5_10.apx,1200,1200,593.17,1200,,,
 be_7_6_10.apx,1200,1200,307.03,1200,,,
 be_7_6_6.apx,1200,1200,286.12,1200,,,
 be_7_6_7.apx,1200,1200,1200,1200,,,
 be_7_6_8.apx,1200,1200,1200,1200,,,
 be_7_6_9.apx,1200,1200,1200,1200,,,
 be_7_7_10.apx,1200,1200,1200,1200,,,
 be_7_8_10.apx,1200,1200,1200,1200,,,
 be_7_8_6.apx,1200,1200,1200,1200,,,
 be_7_8_7.apx,1200,1200,1200,1200,,,
 be_7_8_8.apx,1200,1200,1200,1200,,,
 be_7_8_9.apx,1200,1200,1200,1200,,,
 be_7_9_10.apx,1200,1200,1200,1200,,,
 be_8_10_10.apx,1200,1200,1200,1200,,,
 be_8_10_6.apx,1200,1200,1200,1200,,,
 be_8_10_7.apx,1200,1200,1200,1200,,,
 be_8_10_8.apx,1200,1200,1200,1200,,,
 be_8_10_9.apx,1200,1200,1200,1200,,,
 be_8_1_10.apx,1200,1200,1200,1200,,,
 be_8_2_10.apx,1200,1200,1200,1200,,,
 be_8_2_6.apx,1200,1200,1200,1200,,,
 be_8_2_7.apx,1200,1200,1200,1200,,,
 be_8_2_8.apx,1200,1200,1200,1200,,,
 be_8_2_9.apx,1200,1200,1200,1200,,,
 be_8_3_10.apx,1200,1200,1200,1200,,,
 be_8_4_10.apx,1200,1200,1200,1200,,,
 be_8_4_6.apx,1200,1200,1200,1200,,,
 be_8_4_7.apx,1200,1200,1200,1200,,,
 be_8_4_8.apx,1200,1200,1200,1200,,,
 be_8_4_9.apx,1200,1200,1200,1200,,,
 be_8_5_10.apx,1200,1200,1200,1200,,,
 be_8_6_10.apx,1200,1200,1200,1200,,,
 be_8_6_6.apx,1200,1200,1200,1200,,,
 be_8_6_7.apx,1200,1200,1200,1200,,,
 be_8_6_8.apx,1200,1200,1200,1200,,,
 be_8_6_9.apx,1200,1200,1200,1200,,,
 be_8_7_10.apx,1200,1200,1200,1200,,,
 be_8_8_10.apx,1200,1200,1200,1200,,,
 be_8_8_6.apx,1200,1200,1200,1200,,,
 be_8_8_7.apx,1200,1200,1200,1200,,,
 be_8_8_8.apx,1200,1200,1200,1200,,,
 be_8_8_9.apx,1200,1200,1200,1200,,,
 be_8_9_10.apx,1200,1200,1200,1200,,,
 be_9_10_10.apx,1200,1200,1200,1200,,,
 be_9_10_6.apx,1200,1200,1200,1200,,,
 be_9_10_7.apx,1200,1200,1200,1200,,,
 be_9_10_8.apx,1200,1200,1200,1200,,,
 be_9_10_9.apx,1200,1200,1200,1200,,,
 be_9_1_10.apx,1200,1200,1200,1200,,,
 be_9_2_10.apx,1200,1200,1200,1200,,,
 be_9_2_6.apx,1200,1200,1200,1200,,,
 be_9_2_7.apx,1200,1200,1200,1200,,,
 be_9_2_8.apx,1200,1200,1200,1200,,,
 be_9_2_9.apx,1200,1200,1200,1200,,,
 be_9_3_10.apx,1200,1200,1200,1200,,,
 be_9_4_10.apx,1200,1200,1200,1200,,,
 be_9_4_6.apx,1200,1200,1200,1200,,,
 be_9_4_7.apx,1200,1200,1200,1200,,,
 be_9_4_8.apx,1200,1200,1200,1200,,,
 be_9_4_9.apx,1200,1200,1200,1200,,,
 be_9_5_10.apx,1200,1200,1200,1200,,,
 be_9_6_10.apx,1200,1200,1200,1200,,,
 be_9_6_6.apx,1200,1200,1200,1200,,,
 be_9_6_7.apx,1200,1200,1200,1200,,,
 be_9_6_8.apx,1200,1200,1200,1200,,,
 be_9_6_9.apx,1200,1200,1200,1200,,,
 be_9_7_10.apx,1200,1200,1200,1200,,,
 be_9_8_10.apx,1200,1200,1200,1200,,,
 be_9_8_6.apx,1200,1200,1200,1200,,,
 be_9_8_7.apx,1200,1200,1200,1200,,,
 be_9_8_8.apx,1200,1200,1200,1200,,,
 be_9_8_9.apx,1200,1200,1200,1200,,,
 be_9_9_10.apx,1200,1200,1200,1200,,,
 e_10_10_10.apx,1200,1200,1200,1200,,,
 e_8_2_10.apx,1200,1200,1200,32.21,,,
 e_10_1_10.apx,1200,1200,1200,1200,,,
 e_10_2_10.apx,1200,1200,1200,1200,,,
 e_10_3_10.apx,1200,1200,1200,1200,,,
 e_10_4_10.apx,1200,1200,1200,1200,,,
 e_10_5_10.apx,1200,1200,1200,1200,,,
 e_10_6_10.apx,1200,1200,1200,1200,,,
 e_10_7_10.apx,1200,1200,1200,1200,,,
 e_10_8_10.apx,1200,1200,1200,1200,,,
 e_10_9_10.apx,1200,12.26,10.29,1200,,,
 e_5_10_10.apx,53.14,57.28,36.22,56.05,,,
 e_5_10_6.apx,46.33,24.02,23.39,48.33,,,
 e_5_10_7.apx,56.25,55.19,21.03,42.14,,,
 e_5_10_8.apx,53.05,33.04,36.66,112.28,,,
 e_5_10_9.apx,52.64,60.02,25.11,94.32,,,
 e_5_1_10.apx,50.14,16.12,16.15,9.06,,,
 e_5_2_10.apx,42.17,14.13,16.22,21.11,,,
 e_5_2_6.apx,46.34,15.23,17.05,20.25,,,
 e_5_2_7.apx,46.06,15.25,16.08,36.22,,,
 e_5_2_8.apx,38.03,15.62,16.12,16.21,,,
 e_5_2_9.apx,41.13,12.2,13.27,25.14,,,
 e_5_3_10.apx,31.02,13.12,20.07,26.27,,,
 e_5_4_10.apx,33.06,25.23,14.29,15.28,,,
 e_5_4_6.apx,50.13,15.04,16.39,33.37,,,
 e_5_4_7.apx,48.37,17.44,17.74,39.24,,,
 e_5_4_8.apx,25.27,22.26,15.76,32.22,,,
 e_5_4_9.apx,36.27,26.28,17.29,44.05,,,
 e_5_5_10.apx,52.83,24.81,23.52,43.39,,,
 e_5_6_10.apx,40.16,23.16,16.09,49.28,,,
 e_5_6_6.apx,45.19,25.36,18.48,44.38,,,
 e_5_6_7.apx,49.46,58.22,20.06,43.22,,,
 e_5_6_8.apx,46.83,23.11,27.29,42.05,,,
 e_5_6_9.apx,52.72,25.36,19.17,42.29,,,
 e_5_7_10.apx,44.29,41.37,30.39,48.53,,,
 e_5_8_10.apx,45.63,28.28,18.3,44.55,,,
 e_5_8_6.apx,65.38,27.31,24.31,43.31,,,
 e_5_8_7.apx,47.32,25.33,19.81,82.38,,,
 e_5_8_8.apx,49.18,31.66,28.33,83.38,,,
 e_5_8_9.apx,53.03,42.02,36.07,52.24,,,
 e_5_9_10.apx,46.12,42.12,52.18,242.44,,,
 e_6_10_10.apx,266.37,173.17,53.03,374.14,,,
 e_6_10_6.apx,202.16,193.03,86.11,257.23,,,
 e_6_10_7.apx,168.17,148.28,66.38,294.07,,,
 e_6_10_8.apx,271.12,156.29,67.21,378.29,,,
 e_6_10_9.apx,265.47,157.02,63.04,40.04,,,
 e_6_1_10.apx,200.29,35.29,40.33,94.14,,,
 e_6_2_10.apx,220.38,59.16,43.04,108.34,,,
